Netlist file: ../net/alu4.net   Architecture file: 4lut_sanitized.arch
Array size: 40 x 40 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
n_n837		19	11	0	#249
n_n240		9	13	0	#250
[330]		5	22	0	#251
n_n771		12	22	0	#252
n_n606		20	11	0	#253
n_n813		16	7	0	#254
[290]		22	15	0	#255
[308]		27	14	0	#256
[318]		12	24	0	#257
[494]		12	26	0	#258
[360]		26	25	0	#259
[497]		25	27	0	#260
n_n1250		24	27	0	#261
[294]		19	14	0	#262
[296]		27	17	0	#263
[502]		23	36	0	#264
[501]		21	38	0	#265
[272]		29	23	0	#266
[298]		26	22	0	#267
[311]		34	20	0	#268
[363]		33	21	0	#269
n_n1129		35	20	0	#270
[104]		26	8	0	#271
[270]		22	2	0	#272
[379]		40	23	0	#273
[507]		40	10	0	#274
n_n1123		37	11	0	#275
n_n623		32	23	0	#276
[181]		36	26	0	#277
[364]		29	13	0	#278
[512]		40	14	0	#279
[516]		40	6	0	#280
[513]		38	6	0	#281
[300]		3	10	0	#282
[269]		19	8	0	#283
n_n822		13	21	0	#284
n_n840		29	10	0	#285
n_n631		28	11	0	#286
n_n710		17	17	0	#287
n_n729		19	9	0	#288
[519]		16	37	0	#289
[518]		19	36	0	#290
[517]		15	35	0	#291
n_n1256		15	38	0	#292
n_n735		21	36	0	#293
[523]		18	31	0	#294
[521]		20	24	0	#295
n_n1231		12	29	0	#296
[350]		18	7	0	#297
[529]		1	9	0	#298
[16]		4	13	0	#299
[533]		13	13	0	#300
[536]		7	27	0	#301
[277]		12	38	0	#302
n_n597		29	8	0	#303
n_n651		19	16	0	#304
n_n1255		14	40	0	#305
[405]		7	25	0	#306
[545]		12	34	0	#307
[544]		17	36	0	#308
[543]		17	35	0	#309
n_n1253		13	25	0	#310
[120]		6	21	0	#311
n_n1229		11	25	0	#312
[553]		36	23	0	#313
[552]		37	26	0	#314
n_n1128		37	20	0	#315
[30]		20	13	0	#316
[352]		6	36	0	#317
[557]		27	13	0	#318
[338]		28	3	0	#319
[560]		27	10	0	#320
[558]		25	8	0	#321
n_n1000		26	9	0	#322
[565]		26	3	0	#323
[564]		25	5	0	#324
n_n503		21	3	0	#325
[73]		11	23	0	#326
[121]		6	24	0	#327
[571]		16	30	0	#328
n_n1233		15	30	0	#329
[574]		15	31	0	#330
n_n624		21	15	0	#331
[20]		18	18	0	#332
[579]		17	6	0	#333
[578]		15	12	0	#334
n_n619		34	23	0	#335
[583]		24	35	0	#336
[581]		25	33	0	#337
n_n1234		30	25	0	#338
[591]		27	1	0	#339
n_n851		16	31	0	#340
[594]		22	18	0	#341
[593]		22	17	0	#342
[123]		31	4	0	#343
[276]		33	25	0	#344
[291]		16	17	0	#345
[354]		30	9	0	#346
[596]		34	5	0	#347
n_n277		14	7	0	#348
[115]		32	18	0	#349
[410]		24	25	0	#350
[604]		40	19	0	#351
[606]		16	16	0	#352
n_n1264		15	25	0	#353
n_n1265		15	33	0	#354
[292]		27	7	0	#355
[340]		15	13	0	#356
[359]		27	6	0	#357
[402]		14	29	0	#358
[612]		24	26	0	#359
n_n1191		21	5	0	#360
n_n1185		7	36	0	#361
[351]		8	19	0	#362
[369]		9	35	0	#363
[617]		12	33	0	#364
[616]		8	33	0	#365
[314]		28	4	0	#366
[365]		22	1	0	#367
[619]		24	16	0	#368
n_n612		37	28	0	#369
[275]		25	26	0	#370
[626]		27	21	0	#371
[628]		16	21	0	#372
n_n768		12	12	0	#373
[632]		8	11	0	#374
[639]		17	23	0	#375
[638]		18	20	0	#376
[637]		20	19	0	#377
[41]		8	36	0	#378
[382]		4	37	0	#379
[641]		4	33	0	#380
[324]		3	33	0	#381
n_n910		3	31	0	#382
[648]		39	26	0	#383
[299]		39	30	0	#384
[316]		40	29	0	#385
[376]		34	26	0	#386
[395]		33	13	0	#387
[36]		24	5	0	#388
[304]		30	8	0	#389
[384]		26	26	0	#390
[385]		36	33	0	#391
[347]		34	17	0	#392
[356]		23	16	0	#393
[655]		28	13	0	#394
n_n991		26	15	0	#395
[660]		37	35	0	#396
n_n879		35	34	0	#397
[287]		29	6	0	#398
[388]		31	36	0	#399
n_n881		33	33	0	#400
[668]		11	1	0	#401
[667]		12	13	0	#402
[666]		11	15	0	#403
[669]		15	5	0	#404
[671]		10	12	0	#405
[406]		13	9	0	#406
[676]		3	27	0	#407
[403]		7	17	0	#408
[334]		29	12	0	#409
[380]		23	8	0	#410
[686]		23	11	0	#411
[685]		25	17	0	#412
n_n993		25	13	0	#413
n_n913		5	31	0	#414
[696]		2	32	0	#415
n_n906		2	31	0	#416
[397]		36	8	0	#417
[701]		37	6	0	#418
[700]		22	8	0	#419
[321]		1	33	0	#420
[704]		30	10	0	#421
[703]		21	12	0	#422
[706]		31	14	0	#423
[705]		37	2	0	#424
[708]		32	19	0	#425
n_n987		32	15	0	#426
[366]		21	13	0	#427
[717]		24	12	0	#428
[716]		23	14	0	#429
n_n965		25	14	0	#430
n_n981		3	18	0	#431
n_n984		11	21	0	#432
n_n983		8	23	0	#433
[725]		5	25	0	#434
[724]		16	27	0	#435
[723]		13	24	0	#436
[374]		25	15	0	#437
n_n986		30	16	0	#438
[24]		16	6	0	#439
[735]		3	6	0	#440
[737]		34	13	0	#441
[736]		37	5	0	#442
[342]		33	20	0	#443
[738]		30	21	0	#444
[744]		23	15	0	#445
[747]		32	37	0	#446
[746]		33	32	0	#447
[751]		34	3	0	#448
[752]		34	11	0	#449
[263]		38	5	0	#450
[762]		3	19	0	#451
[761]		3	20	0	#452
[54]		36	11	0	#453
[10]		31	13	0	#454
[42]		20	36	0	#455
[51]		11	24	0	#456
[317]		21	14	0	#457
[319]		16	11	0	#458
[329]		19	15	0	#459
[335]		17	8	0	#460
[375]		22	3	0	#461
[393]		36	21	0	#462
[424]		21	29	0	#463
[423]		19	32	0	#464
[427]		33	23	0	#465
[426]		31	22	0	#466
[429]		32	20	0	#467
[428]		33	22	0	#468
[436]		21	24	0	#469
[440]		12	1	0	#470
[439]		9	10	0	#471
[447]		15	8	0	#472
[451]		9	33	0	#473
[452]		10	33	0	#474
[459]		18	28	0	#475
[469]		23	39	0	#476
[468]		23	37	0	#477
[479]		17	32	0	#478
[484]		20	38	0	#479
[503]		24	36	0	#480
[515]		40	2	0	#481
[520]		19	37	0	#482
[525]		17	31	0	#483
[524]		17	33	0	#484
[530]		6	16	0	#485
[531]		5	16	0	#486
[541]		17	38	0	#487
[546]		11	30	0	#488
[551]		17	37	0	#489
[562]		27	2	0	#490
[561]		26	10	0	#491
[569]		21	28	0	#492
[573]		18	30	0	#493
[572]		17	30	0	#494
[576]		12	31	0	#495
[584]		25	23	0	#496
[615]		20	1	0	#497
[622]		32	2	0	#498
[633]		9	11	0	#499
[636]		7	1	0	#500
[635]		4	1	0	#501
[644]		3	37	0	#502
[643]		2	36	0	#503
[646]		15	2	0	#504
[649]		40	25	0	#505
[653]		34	29	0	#506
[657]		30	13	0	#507
[673]		18	14	0	#508
[677]		1	27	0	#509
[680]		3	3	0	#510
[683]		34	30	0	#511
[684]		34	31	0	#512
[689]		25	10	0	#513
[698]		2	28	0	#514
[707]		38	1	0	#515
[712]		33	17	0	#516
[719]		22	14	0	#517
[718]		24	11	0	#518
[726]		4	25	0	#519
[728]		13	32	0	#520
[734]		16	22	0	#521
[741]		28	2	0	#522
[763]		2	19	0	#523
[40]		5	15	0	#524
[50]		4	9	0	#525
[52]		3	14	0	#526
[57]		4	6	0	#527
[59]		3	15	0	#528
[60]		7	15	0	#529
[62]		4	15	0	#530
[63]		3	13	0	#531
[64]		36	3	0	#532
[65]		35	3	0	#533
[80]		35	11	0	#534
[81]		35	10	0	#535
[82]		38	3	0	#536
[83]		36	2	0	#537
[84]		35	2	0	#538
[86]		34	8	0	#539
[89]		33	10	0	#540
[95]		32	7	0	#541
[97]		30	7	0	#542
[98]		31	8	0	#543
[103]		35	8	0	#544
[107]		33	6	0	#545
[112]		33	7	0	#546
[127]		31	10	0	#547
[128]		32	6	0	#548
[129]		32	11	0	#549
[130]		31	9	0	#550
[136]		33	11	0	#551
[139]		19	2	0	#552
[141]		20	4	0	#553
[142]		19	3	0	#554
[143]		31	11	0	#555
[144]		19	1	0	#556
[145]		20	2	0	#557
[150]		36	7	0	#558
[154]		21	7	0	#559
[156]		21	6	0	#560
[163]		29	3	0	#561
[166]		30	2	0	#562
[170]		26	2	0	#563
[171]		25	3	0	#564
[172]		27	3	0	#565
[176]		25	7	0	#566
[180]		24	7	0	#567
[182]		25	6	0	#568
[190]		27	8	0	#569
[192]		28	8	0	#570
[194]		28	7	0	#571
[198]		34	14	0	#572
[200]		29	15	0	#573
[201]		32	16	0	#574
[206]		34	16	0	#575
[207]		21	17	0	#576
[208]		21	16	0	#577
[212]		31	20	0	#578
[213]		32	21	0	#579
[215]		31	2	0	#580
[222]		31	1	0	#581
[223]		30	1	0	#582
[224]		32	1	0	#583
[225]		34	19	0	#584
[230]		36	5	0	#585
[231]		37	4	0	#586
[235]		29	22	0	#587
[236]		26	1	0	#588
[237]		28	25	0	#589
[238]		28	22	0	#590
[241]		29	25	0	#591
[245]		28	18	0	#592
[246]		33	12	0	#593
[247]		29	16	0	#594
[249]		30	17	0	#595
[252]		29	17	0	#596
[253]		28	17	0	#597
[255]		22	13	0	#598
[256]		24	14	0	#599
[258]		22	6	0	#600
[362]		23	12	0	#601
[373]		25	12	0	#602
[411]		26	12	0	#603
[768]		25	11	0	#604
[769]		26	13	0	#605
[772]		25	16	0	#606
[773]		26	17	0	#607
[777]		28	12	0	#608
[779]		27	12	0	#609
[784]		32	13	0	#610
[785]		33	15	0	#611
[788]		32	5	0	#612
[790]		31	3	0	#613
[791]		32	4	0	#614
[795]		33	14	0	#615
[798]		4	7	0	#616
[800]		3	5	0	#617
[801]		16	18	0	#618
[802]		17	18	0	#619
[808]		4	5	0	#620
[809]		3	4	0	#621
[814]		5	21	0	#622
[824]		7	23	0	#623
[825]		9	23	0	#624
[834]		23	17	0	#625
[835]		10	18	0	#626
[836]		11	22	0	#627
[837]		19	18	0	#628
[840]		20	18	0	#629
[841]		20	16	0	#630
[842]		20	17	0	#631
[843]		8	18	0	#632
[844]		13	18	0	#633
[845]		13	19	0	#634
[846]		5	17	0	#635
[850]		8	16	0	#636
[852]		10	19	0	#637
[853]		8	15	0	#638
[854]		8	14	0	#639
[855]		8	17	0	#640
[856]		4	21	0	#641
[857]		2	18	0	#642
[859]		4	17	0	#643
[863]		4	20	0	#644
[864]		5	19	0	#645
[879]		18	23	0	#646
[881]		18	9	0	#647
[882]		17	1	0	#648
[883]		17	3	0	#649
[884]		15	9	0	#650
[885]		18	3	0	#651
[887]		14	6	0	#652
[891]		14	5	0	#653
[895]		16	13	0	#654
[896]		17	13	0	#655
[901]		18	13	0	#656
[903]		17	7	0	#657
[905]		19	7	0	#658
[907]		17	4	0	#659
[909]		13	15	0	#660
[912]		12	16	0	#661
[917]		10	13	0	#662
[925]		17	15	0	#663
[927]		16	10	0	#664
[931]		18	6	0	#665
[932]		17	5	0	#666
[934]		16	9	0	#667
[937]		8	28	0	#668
[939]		6	28	0	#669
[947]		1	12	0	#670
[948]		5	10	0	#671
[949]		4	11	0	#672
[951]		5	11	0	#673
[954]		1	11	0	#674
[957]		1	10	0	#675
[958]		2	11	0	#676
[960]		1	8	0	#677
[961]		6	17	0	#678
[962]		3	9	0	#679
[970]		2	16	0	#680
[971]		3	17	0	#681
[972]		4	23	0	#682
[979]		4	22	0	#683
[981]		3	22	0	#684
[987]		5	37	0	#685
[988]		6	34	0	#686
[993]		4	34	0	#687
[995]		7	37	0	#688
[1003]		2	34	0	#689
[1005]		3	32	0	#690
[1009]		3	34	0	#691
[1011]		6	32	0	#692
[1012]		5	30	0	#693
[1017]		7	32	0	#694
[1019]		5	8	0	#695
[1021]		5	7	0	#696
[1023]		1	29	0	#697
[1024]		3	29	0	#698
[1026]		1	28	0	#699
[1027]		2	29	0	#700
[1030]		3	25	0	#701
[1033]		2	4	0	#702
[1040]		2	2	0	#703
[1041]		2	3	0	#704
[1042]		2	5	0	#705
[1043]		3	2	0	#706
[1044]		2	1	0	#707
[1047]		4	28	0	#708
[1064]		4	4	0	#709
[1067]		4	2	0	#710
[1074]		16	2	0	#711
[1076]		3	35	0	#712
[1082]		1	35	0	#713
[1083]		2	23	0	#714
[1087]		3	24	0	#715
[1089]		1	25	0	#716
[1092]		1	26	0	#717
[1093]		1	24	0	#718
[1094]		18	21	0	#719
[1096]		16	20	0	#720
[1097]		15	18	0	#721
[1103]		15	17	0	#722
[1108]		25	19	0	#723
[1109]		33	2	0	#724
[1110]		22	11	0	#725
[1115]		25	18	0	#726
[1116]		25	20	0	#727
[1117]		24	19	0	#728
[1119]		33	1	0	#729
[1121]		26	21	0	#730
[1122]		30	19	0	#731
[1123]		26	19	0	#732
[1130]		23	22	0	#733
[1132]		21	1	0	#734
[1133]		20	3	0	#735
[1134]		23	6	0	#736
[1135]		21	4	0	#737
[1139]		9	37	0	#738
[1143]		10	37	0	#739
[1152]		8	37	0	#740
[1154]		7	38	0	#741
[1156]		6	33	0	#742
[1160]		5	33	0	#743
[1162]		7	34	0	#744
[1165]		6	30	0	#745
[1166]		6	29	0	#746
[1168]		14	21	0	#747
[1169]		24	24	0	#748
[1171]		15	21	0	#749
[1173]		23	23	0	#750
[1175]		25	24	0	#751
[1180]		22	20	0	#752
[1181]		22	9	0	#753
[1182]		23	21	0	#754
[1183]		23	7	0	#755
[1186]		6	1	0	#756
[1194]		6	13	0	#757
[1195]		7	6	0	#758
[1196]		8	6	0	#759
[1198]		8	5	0	#760
[1199]		6	6	0	#761
[1200]		8	4	0	#762
[1202]		5	3	0	#763
[1203]		5	6	0	#764
[1204]		36	24	0	#765
[1213]		38	24	0	#766
[1214]		40	20	0	#767
[1215]		40	18	0	#768
[1216]		39	19	0	#769
[1217]		40	17	0	#770
[1218]		38	25	0	#771
[1221]		37	18	0	#772
[1228]		37	17	0	#773
[1229]		36	17	0	#774
[1230]		38	17	0	#775
[1234]		39	2	0	#776
[1235]		39	3	0	#777
[1239]		39	1	0	#778
[1245]		39	21	0	#779
[1246]		39	12	0	#780
[1247]		37	15	0	#781
[1248]		39	13	0	#782
[1249]		40	12	0	#783
[1250]		40	11	0	#784
[1252]		38	14	0	#785
[1255]		38	11	0	#786
[1263]		36	12	0	#787
[1266]		37	12	0	#788
[1267]		35	13	0	#789
[1272]		36	13	0	#790
[1274]		36	20	0	#791
[1277]		36	19	0	#792
[1279]		39	18	0	#793
[1283]		38	20	0	#794
[1290]		39	20	0	#795
[1293]		38	7	0	#796
[1294]		38	13	0	#797
[1295]		38	16	0	#798
[1296]		36	15	0	#799
[1297]		39	16	0	#800
[1298]		40	16	0	#801
[1299]		36	16	0	#802
[1300]		36	14	0	#803
[1301]		38	12	0	#804
[1302]		40	13	0	#805
[1307]		34	24	0	#806
[1308]		34	22	0	#807
[1314]		13	12	0	#808
[1315]		13	10	0	#809
[1316]		12	11	0	#810
[1317]		14	2	0	#811
[1321]		15	1	0	#812
[1324]		18	12	0	#813
[1326]		8	3	0	#814
[1327]		10	4	0	#815
[1328]		11	3	0	#816
[1329]		12	2	0	#817
[1331]		8	1	0	#818
[1332]		9	4	0	#819
[1333]		10	3	0	#820
[1334]		9	1	0	#821
[1336]		10	2	0	#822
[1337]		10	1	0	#823
[1338]		14	1	0	#824
[1339]		13	1	0	#825
[1340]		8	8	0	#826
[1341]		11	8	0	#827
[1343]		10	6	0	#828
[1344]		7	7	0	#829
[1346]		10	5	0	#830
[1348]		9	5	0	#831
[1350]		6	9	0	#832
[1351]		8	13	0	#833
[1352]		7	12	0	#834
[1353]		14	8	0	#835
[1354]		9	12	0	#836
[1355]		14	4	0	#837
[1361]		5	9	0	#838
[1362]		12	3	0	#839
[1363]		13	4	0	#840
[1366]		7	4	0	#841
[1372]		6	4	0	#842
[1373]		6	3	0	#843
[1375]		6	5	0	#844
[1376]		9	9	0	#845
[1377]		10	14	0	#846
[1383]		5	5	0	#847
[1385]		28	35	0	#848
[1388]		32	27	0	#849
[1390]		26	35	0	#850
[1391]		27	37	0	#851
[1392]		22	37	0	#852
[1393]		33	27	0	#853
[1394]		31	27	0	#854
[1396]		31	29	0	#855
[1397]		30	26	0	#856
[1400]		21	25	0	#857
[1402]		32	25	0	#858
[1403]		29	20	0	#859
[1406]		31	25	0	#860
[1408]		28	6	0	#861
[1409]		26	7	0	#862
[1410]		30	24	0	#863
[1412]		25	35	0	#864
[1414]		23	33	0	#865
[1416]		22	33	0	#866
[1418]		22	35	0	#867
[1419]		23	35	0	#868
[1423]		9	32	0	#869
[1425]		11	32	0	#870
[1432]		11	31	0	#871
[1433]		13	33	0	#872
[1436]		15	28	0	#873
[1437]		14	30	0	#874
[1438]		16	29	0	#875
[1440]		18	26	0	#876
[1441]		16	26	0	#877
[1444]		17	29	0	#878
[1446]		18	32	0	#879
[1447]		17	27	0	#880
[1450]		14	31	0	#881
[1453]		17	34	0	#882
[1454]		16	33	0	#883
[1462]		14	25	0	#884
[1463]		15	24	0	#885
[1464]		18	25	0	#886
[1466]		17	25	0	#887
[1472]		19	35	0	#888
[1474]		18	24	0	#889
[1480]		19	28	0	#890
[1481]		19	30	0	#891
[1488]		13	26	0	#892
[1490]		11	28	0	#893
[1493]		10	28	0	#894
[1500]		14	28	0	#895
[1501]		12	28	0	#896
[1502]		13	27	0	#897
[1503]		16	32	0	#898
[1504]		12	25	0	#899
[1506]		15	34	0	#900
[1511]		8	34	0	#901
[1517]		8	35	0	#902
[1524]		9	27	0	#903
[1525]		9	31	0	#904
[1526]		9	28	0	#905
[1527]		9	29	0	#906
[1528]		8	26	0	#907
[1529]		8	31	0	#908
[1530]		6	27	0	#909
[1534]		21	27	0	#910
[1535]		23	28	0	#911
[1537]		23	3	0	#912
[1538]		22	29	0	#913
[1539]		21	30	0	#914
[1542]		23	4	0	#915
[1543]		22	28	0	#916
[1547]		11	37	0	#917
[1552]		10	38	0	#918
[1553]		12	39	0	#919
[1554]		11	36	0	#920
[1555]		12	37	0	#921
[1558]		14	38	0	#922
[1562]		8	20	0	#923
[1563]		9	21	0	#924
[1564]		7	20	0	#925
[1565]		9	20	0	#926
[1569]		14	23	0	#927
[1571]		12	23	0	#928
[1572]		14	24	0	#929
[1574]		15	23	0	#930
[1575]		14	22	0	#931
[1582]		9	16	0	#932
[1583]		12	21	0	#933
[1584]		10	25	0	#934
[1585]		10	20	0	#935
[1587]		9	17	0	#936
[1588]		9	15	0	#937
[1596]		14	34	0	#938
[1603]		13	34	0	#939
[1605]		11	34	0	#940
[1609]		15	40	0	#941
[1610]		17	40	0	#942
[1611]		15	39	0	#943
[1612]		16	40	0	#944
[1613]		14	39	0	#945
[1614]		17	39	0	#946
[1620]		13	35	0	#947
[1624]		16	38	0	#948
[1629]		16	36	0	#949
[1630]		15	37	0	#950
[1634]		23	25	0	#951
[1635]		24	28	0	#952
[1637]		27	27	0	#953
[1639]		27	26	0	#954
[1640]		26	27	0	#955
[1643]		20	23	0	#956
[1644]		21	23	0	#957
[1647]		25	29	0	#958
[1648]		29	29	0	#959
[1652]		29	27	0	#960
[1656]		30	28	0	#961
[1661]		19	25	0	#962
[1663]		22	40	0	#963
[1669]		23	34	0	#964
[1672]		22	32	0	#965
[1673]		19	39	0	#966
[1675]		18	39	0	#967
[1679]		19	40	0	#968
[1681]		21	39	0	#969
[1684]		26	39	0	#970
[1685]		22	39	0	#971
[1686]		24	38	0	#972
[1689]		25	39	0	#973
[1691]		22	38	0	#974
[1692]		24	37	0	#975
[1694]		25	37	0	#976
[1699]		32	30	0	#977
[1702]		31	33	0	#978
[1703]		30	31	0	#979
[1704]		32	28	0	#980
[1705]		32	29	0	#981
[1708]		28	36	0	#982
[1709]		31	31	0	#983
[1712]		29	32	0	#984
[1713]		27	31	0	#985
[1720]		24	34	0	#986
[1721]		26	33	0	#987
[1722]		24	31	0	#988
[1723]		26	28	0	#989
[1724]		24	30	0	#990
[1725]		23	30	0	#991
[1726]		26	24	0	#992
[1729]		28	24	0	#993
[1732]		30	30	0	#994
[1740]		22	22	0	#995
[1741]		21	22	0	#996
[1744]		29	35	0	#997
[1746]		27	33	0	#998
[1748]		30	34	0	#999
[1750]		24	32	0	#1000
[1756]		32	22	0	#1001
[1763]		20	34	0	#1002
[1764]		21	31	0	#1003
[1765]		21	35	0	#1004
[1766]		23	32	0	#1005
[1767]		20	35	0	#1006
[1768]		21	33	0	#1007
[1770]		22	31	0	#1008
[1776]		39	33	0	#1009
[1778]		38	35	0	#1010
[1779]		40	35	0	#1011
[1780]		39	31	0	#1012
[1781]		40	32	0	#1013
[1789]		36	30	0	#1014
[1792]		36	29	0	#1015
[1794]		35	30	0	#1016
[1796]		33	36	0	#1017
